core,instruction_count,opcode,count
core0,39,ADD,16
core0,39,HALT,1
core0,39,LDR,16
core0,39,MOVI,4
core0,39,STR,2
core1,46,ADD,8
core1,46,HALT,1
core1,46,LDR,16
core1,46,MOVI,5
core1,46,MUL,2
core1,46,STR,2
core1,46,SUB,12
core2,39,ADD,12
core2,39,HALT,1
core2,39,LDR,16
core2,39,MOVI,4
core2,39,STR,2
core2,39,SUB,4
core3,46,ADD,8
core3,46,HALT,1
core3,46,LDR,16
core3,46,MOVI,5
core3,46,MUL,2
core3,46,STR,2
core3,46,SUB,12
core4,39,ADD,12
core4,39,HALT,1
core4,39,LDR,16
core4,39,MOVI,4
core4,39,STR,2
core4,39,SUB,4
core5,46,ADD,8
core5,46,HALT,1
core5,46,LDR,16
core5,46,MOVI,5
core5,46,MUL,2
core5,46,STR,2
core5,46,SUB,12
core6,39,ADD,12
core6,39,HALT,1
core6,39,LDR,16
core6,39,MOVI,4
core6,39,STR,2
core6,39,SUB,4
core7,46,ADD,8
core7,46,HALT,1
core7,46,LDR,16
core7,46,MOVI,5
core7,46,MUL,2
core7,46,STR,2
core7,46,SUB,12
ALL,340,TOTAL,340
